URN;Name;Street;Locality;Address;Town;County;Postcode;Number
116157;Guillemont Junior School;Sandy Lane;;;Farnborough;Hampshire;GU14 9ES;1252666846
116158;Pinewood Infant School;Pinewood Park;;;Farnborough;Hampshire;GU14 9LE;1252511885
116161;Brockhurst Junior School;Avery Lane;;;Gosport;Hampshire;PO12 4SL;
116162;Elson Junior School;Exmouth Road;;;Gosport;Hampshire;PO12 4EX;2392583754
116163;Elson Infant School;Elson Lane;;;Gosport;Hampshire;PO12 4EU;2392581208
116164;Lee-on-the-Solent Junior School;Salisbury Terrace;;;Lee-on-the-Solent;Hampshire;PO13 9DL;2392550551
116165;Haselworth Primary School;Stone Lane;;;Gosport;Hampshire;PO12 1SQ;2392583657
116166;Woodcot Primary School;Tukes Avenue;Bridgemary;;Gosport;Hampshire;PO13 0SG;
116167;Rowner Junior School;Tichborne Way;Rowner;;Gosport;Hampshire;PO13 0BN;
116168;Rowner Infant School;Copse Lane;Rowner;;Gosport;Hampshire;PO13 0DH;1329280807
116169;Alverstoke Community Infant School;Ashburton Road;Alverstoke;;Gosport;Hampshire;PO12 2LH;2392582403
116170;Grange Junior School;Grange Lane;;;Gosport;Hampshire;PO13 9RX;2392581172
116171;Grange Infant School;Franklin Road;Rowner;;Gosport;Hampshire;PO13 9TS;2392582984
116172;Alver Valley Junior School;21 Falcon Meadows Way;Rowner;;Gosport;Hampshire;PO13 8AA;2392583029
116173;Peel Common Infant School and Nursery Unit;The Drive;;;Gosport;Hampshire;PO13 0QD;1329234878
116174;Alver Valley Infant and Nursery School;21 Falcon Meadows Way;Rowner;;Gosport;Hampshire;PO13 8AA;2392581777
116175;Peel Common Junior School;The Drive;Rowner;;Gosport;Hampshire;PO13 0QD;1329281206
116176;Gomer Infant School;Pyrford Close;Alverstoke;;Gosport;Hampshire;PO12 2RP;2392580808
116177;Brockhurst Primary School;Avery Lane;;;Gosport;Hampshire;PO12 4SL;2392580471
116180;Lee-On-the-Solent Infant and Nursery School;Elmore Road;;;Lee-on-the-Solent;Hampshire;PO13 9DY;2392551767
116181;Gomer Junior School;Pyrford Close;Alverstoke;;Gosport;Hampshire;PO12 2RP;
116224;Orchard Lea Infant School;Kennedy Avenue;;;Fareham;Hampshire;PO15 6BJ;1329232563
